site_id,geo_lat,geo_lon,data_type,data_class,data_source,manual_error,interpolated_beta,log10_beta,mag_lat,mag_lon,alpha,nearest_sim_site,nearest_volt,power_pool,US_region,automated_error
10586,34.0,-118.5,GIC,measured,NERC,no data availible,1.299364227218366,0.1137309060375355,40.1116609980105,-51.06418675829632,0.1007700324962036,,,CAISO,West,Duplicate time stamps found
10587,46.4,-117.0,GIC,measured,NERC,,0.7112390905451829,-0.147984382041321,52.52929238864447,-52.41755453680972,0.4202579227980467,,,NorthernGridConnected,West,Baseline offset detected (median value: 1.6 A)
10591,35.8,-106.1,GIC,measured,NERC,no data availible,0.4274114177415486,-0.3691538804033071,43.28108397765961,-37.89166843218342,0.1450857079970678,,,WestConnect,West,Duplicate time stamps found
10592,43.2,-84.5,GIC,measured,NERC,missing periods of data,0.5365818570603087,-0.2703640158083231,52.16283087735319,-14.12968086460023,0.4029149715177104,,,MISO,Central,Data is constant for at least 5 minutes starting at time 2024-05-10 00:00:00
10603,42.6,-83.0,GIC,measured,NERC,missing periods of data,0.6489573220437774,-0.1877838631539193,51.618376151158216,-12.302953168869164,0.3784610863359025,,345.0,MISO,Central,Baseline offset detected (median value: 2.66 A)
10605,45.3,-122.6,GIC,measured,NERC,"not smooth, all positive",0.8880410561791788,-0.0515669553251296,50.71320367458677,-58.25429613680636,0.3410463604964155,,,NorthernGridConnected,West,All GIC values are positive
10606,41.3,-72.9,GIC,measured,NERC,high cadence,2.519333459417882,0.4012856545963779,50.495382912721816,-0.3002253305541709,0.3326094686594881,,,ISONE,East,Baseline offset detected (median value: 1.4 A)
10607,41.3,-72.9,GIC,measured,NERC,high cadence,2.519333459417882,0.4012856545963779,50.495382912721816,-0.3002253305541709,0.3326094686594881,,,ISONE,East,Baseline offset detected (median value: -2.6 A)
10608,41.2,-73.2,GIC,measured,NERC,no data available,2.359721585037499,0.3728607651672594,50.39498378278181,-0.6541339403984114,0.3287912776559905,,,ISONE,East,Duplicate time stamps found
10609,41.2,-73.2,GIC,measured,NERC,no data available,2.359721585037499,0.3728607651672594,50.39498378278181,-0.6541339403984114,0.3287912776559905,,,ISONE,East,Duplicate time stamps found
10611,39.6,-92.6,GIC,measured,NERC,noisy,1.2699476826377936,0.1037858299246789,48.156605916314525,-23.21448531251984,0.2541716129411514,,,SERTP,East,Data is constant for at least 5 minutes starting at time 2024-05-10 00:03:50
10612,30.5,-87.2,GIC,measured,NERC,stays at zero,0.1273263645449477,-0.8950816608327927,39.36725357966286,-16.26460949577793,0.0925023603658283,,,SERTP,East,All GIC values are positive
10613,29.6,-81.6,GIC,measured,NERC,stays at zero,1.0875366213723825,0.0364438901711912,38.67111232442184,-9.981943517488917,0.0853856383380255,,115.0,FRCC,East,All GIC values are positive
10614,29.6,-81.6,GIC,measured,NERC,stays at zero,1.0875366213723825,0.0364438901711912,38.67111232442184,-9.981943517488917,0.0853856383380255,,115.0,FRCC,East,All GIC values are positive
10615,29.6,-81.6,GIC,measured,NERC,not smooth,1.0875366213723825,0.0364438901711912,38.67111232442184,-9.981943517488917,0.0853856383380255,,115.0,FRCC,East,All GIC values are positive
10616,29.6,-81.6,GIC,measured,NERC,stays at zero,1.0875366213723825,0.0364438901711912,38.67111232442184,-9.981943517488917,0.0853856383380255,,115.0,FRCC,East,All GIC values are positive
10617,28.8,-81.3,GIC,measured,NERC,not smooth,0.7144146924449852,-0.1460496224535399,37.87966009991652,-9.616768128279562,0.0779572743205564,,,FRCC,East,All GIC values are positive
