site_id,geo_lat,geo_lon,data_type,data_class,data_source,error,interpolated_beta,power_pool,US_region,nearest_sim_site
10383,40.6,-74.2,GIC,measured,NERC,low cadence,2.719221634832854,PJM,East,
10385,41.2,-73.8,GIC,measured,NERC,very noisy,2.3933698036478432,NYISO,East,
10386,40.8,-73.9,GIC,measured,NERC,very noisy,2.448214817780424,NYISO,East,
10387,41.0,-73.9,GIC,measured,NERC,very noisy,2.358259664051346,NYISO,East,
10388,41.0,-73.9,GIC,measured,NERC,very noisy,2.358259664051346,NYISO,East,
10430,39.6,-75.6,GIC,measured,NERC,"low cadence, missing periods of data",2.265614252826253,PJM,East,
10431,39.6,-75.7,GIC,measured,NERC,"not centered on zero, missing periods of data",2.3091290131355544,PJM,East,
10432,38.5,-76.6,GIC,measured,NERC,low cadence,0.9920645909046396,PJM,East,
10433,38.5,-76.6,GIC,measured,NERC,not centered on zero,0.9920645909046396,PJM,East,
10434,39.5,-75.1,GIC,measured,NERC,low cadence,2.1973806720954783,PJM,East,
10435,39.4,-74.6,GIC,measured,NERC,not centered on zero,1.5563786944062044,PJM,East,
10436,39.4,-74.6,GIC,measured,NERC,"not smooth, low values",1.5563786944062044,PJM,East,
